DATE,GS5,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2011-10-01,1.06,0.16000000000000003,17.777777777777782,-0.11999999999999988,-10.16949152542372
2011-11-01,0.91,-0.15000000000000002,-14.150943396226417,-0.44000000000000006,-32.592592592592595
2011-12-01,0.89,-0.020000000000000018,-2.1978021978021998,-1.04,-53.8860103626943
2012-01-01,0.84,-0.050000000000000044,-5.6179775280898925,-1.15,-57.78894472361809
2012-02-01,0.83,-0.010000000000000009,-1.1904761904761916,-1.4299999999999997,-63.27433628318584
2012-03-01,1.02,0.19000000000000006,22.89156626506025,-1.0899999999999999,-51.65876777251185
2012-04-01,0.89,-0.13,-12.745098039215685,-1.2799999999999998,-58.98617511520736
2012-05-01,0.76,-0.13,-14.606741573033707,-1.08,-58.69565217391305
2012-06-01,0.71,-0.050000000000000044,-6.5789473684210575,-0.8700000000000001,-55.06329113924051
2012-07-01,0.62,-0.08999999999999997,-12.676056338028166,-0.92,-59.74025974025974
2012-08-01,0.71,0.08999999999999997,14.51612903225806,-0.31000000000000005,-30.3921568627451
2012-09-01,0.67,-0.039999999999999925,-5.633802816901398,-0.22999999999999998,-25.555555555555554
2012-10-01,0.71,0.039999999999999925,5.970149253731331,-0.3500000000000001,-33.01886792452831
2012-11-01,0.67,-0.039999999999999925,-5.633802816901398,-0.24,-26.373626373626376
2012-12-01,0.7,0.029999999999999916,4.477611940298495,-0.19000000000000006,-21.348314606741578
2013-01-01,0.81,0.1100000000000001,15.714285714285731,-0.029999999999999916,-3.5714285714285614
2013-02-01,0.85,0.039999999999999925,4.938271604938262,0.020000000000000018,2.40963855421687
2013-03-01,0.82,-0.030000000000000027,-3.529411764705886,-0.20000000000000007,-19.607843137254907
2013-04-01,0.71,-0.10999999999999999,-13.414634146341461,-0.18000000000000005,-20.2247191011236
2013-05-01,0.84,0.13,18.30985915492958,0.07999999999999996,10.52631578947368
2013-06-01,1.2,0.36,42.857142857142854,0.49,69.01408450704226
2013-07-01,1.4,0.19999999999999996,16.666666666666664,0.7799999999999999,125.8064516129032
2013-08-01,1.52,0.1200000000000001,8.57142857142858,0.81,114.08450704225352
2013-09-01,1.6,0.08000000000000007,5.263157894736847,0.93,138.80597014925374
2013-10-01,1.37,-0.22999999999999998,-14.374999999999998,0.6600000000000001,92.95774647887326
2013-11-01,1.37,0.0,0.0,0.7000000000000001,104.47761194029852
2013-12-01,1.58,0.20999999999999996,15.328467153284667,0.8800000000000001,125.71428571428574
2014-01-01,1.65,0.06999999999999984,4.430379746835433,0.8399999999999999,103.70370370370368
2014-02-01,1.52,-0.1299999999999999,-7.878787878787873,0.67,78.82352941176471
2014-03-01,1.64,0.11999999999999988,7.894736842105256,0.82,100.0
2014-04-01,1.7,0.06000000000000005,3.658536585365857,0.99,139.43661971830988
2014-05-01,1.59,-0.10999999999999988,-6.47058823529411,0.7500000000000001,89.2857142857143
2014-06-01,1.68,0.08999999999999986,5.660377358490557,0.48,40.0
2014-07-01,1.7,0.020000000000000018,1.1904761904761916,0.30000000000000004,21.428571428571434
2014-08-01,1.63,-0.07000000000000006,-4.117647058823533,0.10999999999999988,7.2368421052631495
2014-09-01,1.77,0.14000000000000012,8.588957055214733,0.16999999999999993,10.624999999999996
2014-10-01,1.55,-0.21999999999999997,-12.429378531073445,0.17999999999999994,13.138686131386857
2014-11-01,1.62,0.07000000000000006,4.5161290322580685,0.25,18.248175182481752
2014-12-01,1.64,0.019999999999999796,1.2345679012345552,0.05999999999999983,3.797468354430369
2015-01-01,1.37,-0.2699999999999998,-16.463414634146332,-0.2799999999999998,-16.969696969696958
2015-02-01,1.47,0.09999999999999987,7.29927007299269,-0.050000000000000044,-3.2894736842105288
2015-03-01,1.52,0.050000000000000044,3.40136054421769,-0.11999999999999988,-7.317073170731701
2015-04-01,1.35,-0.16999999999999993,-11.184210526315784,-0.34999999999999987,-20.58823529411764
2015-05-01,1.54,0.18999999999999995,14.074074074074069,-0.050000000000000044,-3.1446540880503173
2015-06-01,1.68,0.1399999999999999,9.090909090909085,0.0,0.0
2015-07-01,1.63,-0.050000000000000044,-2.976190476190479,-0.07000000000000006,-4.117647058823533
