DATE,WILL5000PR,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2010-11-01,92.95196,0.28964000000000567,0.3125758129086404,8.75439,10.397437835795024
2010-12-01,99.17426,6.222300000000004,6.69410306140936,12.845950000000002,14.880344582211794
2011-01-01,101.2131,2.0388399999999933,2.0558156924992366,17.96083999999999,21.573996910113898
2011-02-01,104.61838,3.4052800000000047,3.3644656669937048,18.757549999999995,21.846457808525717
2011-03-01,104.84316,0.22477999999999554,0.2148570834302687,13.772220000000004,15.122518774924258
2011-04-01,107.78263,2.93947,2.803683139653555,14.87988,16.016619529561826
2011-05-01,106.29124,-1.4913899999999956,-1.3837016224228298,20.923659999999998,24.51007747906172
2011-06-01,104.25437,-2.0368700000000075,-1.9163103187054806,23.723299999999995,29.45856797879377
2011-07-01,101.9015,-2.352869999999996,-2.256855036388399,15.897220000000004,18.484219622558324
2011-08-01,95.60164,-6.299859999999995,-6.182303498967135,13.793000000000006,16.86007737080094
2011-09-01,88.14167,-7.459969999999998,-7.803182037462954,-1.1482499999999902,-1.2859794252251433
2011-10-01,98.0462,9.904529999999994,11.23705734189061,5.383880000000005,5.810214982745959
2011-11-01,97.49256,-0.5536400000000015,-0.5646725727259205,4.540599999999998,4.884888925419107
2011-12-01,98.21104,0.7184799999999996,0.7369587997278967,-0.9632200000000068,-0.9712399164864016
2012-01-01,102.94355,4.732510000000005,4.818714881748534,1.7304500000000047,1.709709513887041
2012-02-01,107.05122,4.107669999999999,3.9902159970197246,2.432839999999999,2.325442240646432
2012-03-01,110.2005,3.1492800000000045,2.9418441004222133,5.357340000000008,5.109861244167009
2012-04-01,109.29798,-0.9025200000000098,-0.8189799501817231,1.515349999999998,1.4059315494528182
2012-05-01,102.32226,-6.9757199999999955,-6.382295445899362,-3.968980000000002,-3.734061245310528
2012-06-01,106.18867,3.866410000000002,3.7786596973131767,1.9343000000000075,1.8553658709941918
2012-07-01,107.1757,0.9870300000000043,0.9295059444665842,5.2742000000000075,5.17578249584158
2012-08-01,109.47227,2.2965699999999885,2.1428084911038496,13.870629999999991,14.508778301292729
2012-09-01,112.12506,2.65279000000001,2.4232529388492723,23.98339,27.210047188804115
2012-10-01,110.01382,-2.1112400000000093,-1.8829332176054214,11.967619999999997,12.206102837233871
2012-11-01,110.44055,0.42673000000000627,0.38788763084493044,12.947990000000004,13.281003186294427
2012-12-01,111.55577,1.1152199999999937,1.0097921460912622,13.344729999999998,13.587810494624636
2013-01-01,117.47144,5.915670000000006,5.302881240477302,14.52789,14.112482035057075
2013-02-01,118.72059,1.2491500000000002,1.063364848511264,11.66937,10.900735180785423
2013-03-01,123.11456,4.393969999999996,3.7011018897395944,12.914059999999992,11.718694561276937
2013-04-01,125.12573,2.011170000000007,1.633576077435526,15.827750000000009,14.481283185654492
2013-05-01,127.70951,2.58377999999999,2.064946993715833,25.387249999999995,24.81107239030881
2013-06-01,125.88027,-1.8292399999999986,-1.4323443884484395,19.691599999999994,18.543974606707096
2013-07-01,132.57466,6.6943899999999985,5.318061361005977,25.398959999999988,23.698431640754375
2013-08-01,128.45762,-4.117040000000003,-3.105450166721154,18.985349999999997,17.34261105574955
2013-09-01,132.82492,4.3673,3.3997983148060817,20.699859999999987,18.461403721879822
2013-10-01,138.39057,5.565650000000005,4.19021520961579,28.37675,25.793804814704192
2013-11-01,142.09395,3.70338000000001,2.676034935039295,31.653400000000005,28.66103075364982
2013-12-01,145.52719,3.4332399999999836,2.416176058164323,33.971419999999995,30.45240958849551
2014-01-01,140.8067,-4.720489999999984,-3.2437168614332372,23.335260000000005,19.864624116295847
2014-02-01,146.99901,6.192309999999992,4.397738175811231,28.278419999999997,23.819305480203557
2014-03-01,147.80139,0.8023799999999994,0.5458404107619497,24.68683,20.05191749862892
2014-04-01,147.9001,0.09871000000001118,0.06678556947266272,22.774370000000005,18.201188516542523
2014-05-01,150.79633,2.8962300000000027,1.958233970091976,23.086820000000017,18.077604400799924
2014-06-01,154.2385,3.442169999999976,2.282661653635719,28.358229999999992,22.527938651545625
2014-07-01,151.20214,-3.0363599999999735,-1.9686135433111536,18.62748000000002,14.050558379708475
2014-08-01,157.03981,5.837669999999974,3.8608382130041106,28.582189999999997,22.250287682427867
2014-09-01,153.61835,-3.421459999999996,-2.17872143375619,20.79343,15.654765687041259
2014-10-01,157.68097,4.06262000000001,2.644618953399779,19.290400000000005,13.93910004128172
2014-11-01,161.25699,3.5760199999999998,2.267883055260251,19.163039999999995,13.486175871668001
2014-12-01,160.90803,-0.34896000000000527,-0.21639992164060934,15.380840000000006,10.56904898665329
2015-01-01,156.296,-4.612030000000004,-2.866252231165843,15.489299999999986,11.000399838928109
2015-02-01,164.82893,8.532930000000022,5.459467932640645,17.829920000000016,12.129278965892366
