DATE,NASDAQCOM,Monthly Change,Percent Monthly Change,Yearly Change,Percent Yearly Change
2016-10-01,131.69211,-3.118249999999989,-2.31306407015009,3.43574000000001,2.678806518537839
2016-11-01,135.10678,3.4146699999999726,2.592919196146202,5.456619999999987,4.208726005428753
2016-12-01,136.61528,1.5085000000000264,1.1165242780562357,9.534940000000006,7.503080334849596
2017-01-01,142.4947,5.879419999999982,4.303632800079157,25.39976999999999,21.691605264207418
2017-02-01,147.84067,5.345969999999994,3.7516974315535903,32.16693999999998,27.808336430406438
2017-03-01,150.03083,2.19016000000002,1.4814326801955242,26.441550000000007,21.394695397529627
2017-04-01,153.47901,3.4481799999999794,2.2983142864703066,32.28774999999999,26.64197896779024
2017-05-01,157.30887,3.829860000000025,2.4953640240447377,31.735000000000014,25.271977362806464
2017-06-01,155.83438,-1.474490000000003,-0.9373215890496213,32.93489000000001,26.798231628137763
2017-07-01,161.10549,5.271109999999993,3.3825077624077515,30.098600000000005,22.97482216393352
2017-08-01,163.14947,2.043980000000005,1.2687215066351896,30.84599,23.314571922068865
2017-09-01,164.85744,1.7079699999999889,1.0468743784457215,30.047079999999994,22.288405727868387
2017-10-01,170.73788,5.880439999999993,3.5669849052611715,39.045769999999976,29.649285746883375
2017-11-01,174.45075,3.7128700000000094,2.174602378804287,39.34397000000001,29.12064812735528
2017-12-01,175.19738,0.7466300000000103,0.42798898829612964,38.5821,28.241423653342434
2018-01-01,188.09192,12.894539999999978,7.3600073243104305,45.59721999999999,31.99923926995179
2018-02-01,184.57777,-3.5141500000000008,-1.8683152365077675,36.7371,24.849116281737633
2018-03-01,179.2592,-5.318569999999994,-2.881479172708606,29.228369999999984,19.481575886769395
2018-04-01,179.33092,0.07171999999999912,0.04000910413524055,25.851910000000004,16.843938464289028
2018-05-01,188.86944,9.538520000000005,5.318948901840244,31.560569999999984,20.062803832994273
2018-06-01,190.59995,1.7305100000000095,0.9162466940125463,34.76557,22.309306842302703
2018-07-01,194.69816,4.098209999999995,2.1501632083324234,33.59267,20.851350255040966
2018-08-01,205.80748,11.109319999999997,5.705919357429981,42.65800999999999,26.146582026898397
2018-09-01,204.20399,-1.6034899999999936,-0.7791213419453917,39.34655000000001,23.86701504038884
2018-10-01,185.41241,-18.79158000000001,-9.202356917707636,14.674530000000004,8.594771119332163
2018-11-01,186.03766,0.6252499999999941,0.3372212248360259,11.586909999999989,6.641937624229182
2018-12-01,168.39309,-17.644569999999987,-9.484407619403507,-6.804290000000009,-3.88378524838671
2019-01-01,184.79927,16.406180000000006,9.74278695164986,-3.2926499999999805,-1.7505536654631313
2019-02-01,191.16401,6.364739999999983,3.4441369817099297,6.586240000000004,3.568273687562703
2019-03-01,196.15821,4.994200000000006,2.6125210493335054,16.899010000000004,9.42713679409481
2019-04-01,205.44842,9.290210000000002,4.736080126342915,26.117500000000007,14.563857699497671
2019-05-01,189.14939,-16.299029999999988,-7.933392722124603,0.2799500000000137,0.1482240853787747
2019-06-01,203.18606,14.036669999999987,7.420943837038008,12.58610999999999,6.603417262176611
2019-07-01,207.47949,4.293430000000001,2.113053425023351,12.781329999999997,6.564689671438084
2019-08-01,202.08568,-5.393810000000002,-2.5996834675080427,-3.7218000000000018,-1.808389082845775
2019-09-01,203.0109,0.9252199999999959,0.45783550818642665,-1.1930900000000122,-0.5842638040520227
2019-10-01,210.44727,7.436370000000011,3.6630397678154285,25.03486000000001,13.50225694170094
2019-11-01,219.91633,9.469059999999985,4.4994929133554376,33.87867,18.210651542273755
2019-12-01,227.71086,7.794530000000009,3.5443161496920257,59.317769999999996,35.22577440677643
2020-01-01,232.23668,4.52582000000001,1.9875292728682374,47.43741,25.669695556697814
2020-02-01,217.42655,-14.810130000000015,-6.377170910297209,26.26254,13.738224051692576
2020-03-01,195.4166,-22.009950000000003,-10.122935768423867,-0.7416100000000085,-0.3780672753895993
2020-04-01,225.60308,30.186480000000017,15.447244502258261,20.154660000000007,9.810082744856352
2020-05-01,240.83828,15.235199999999992,6.7530992927933395,51.68888999999999,27.32701913550976
2020-06-01,255.27595,14.437669999999997,5.99475714574942,52.08989,25.636547113517533
2020-07-01,272.69844,17.42249000000001,6.824963338692896,65.21895,31.433926312427317
2020-08-01,298.84292,26.144479999999987,9.587322905110856,96.75724,47.879315347826726
2020-09-01,283.41411,-15.428809999999999,-5.162849432738778,80.40321,39.60536601729267
2020-10-01,276.91931,-6.494799999999998,-2.2916290229868927,66.47203999999999,31.586078545946446
2020-11-01,309.58519,32.665880000000016,11.796172682937863,89.66886000000002,40.774079851187054
2020-12-01,327.08465,17.49946,5.652550756707709,99.37379000000001,43.640338453774234
