DATE,MORTGAGE15US_Monthly Change,MORTGAGE30US_Monthly Change,MORTGAGE5US_Monthly Change,Rent Index Mon_Chg,NASDAQCOM Mon_Chg,WILL5000 Per_Mon_Chg,House Completed,House Under Construction,5yr_Maturity Per_Mon_Chg,10yr_Maturity Per_Mon_Chg,30yr_Maturity Per_Mon_Chg,CPI Mon_Chg,House Index Monthly Change,Year,Month,Unemployment Rate,Unemployment Rate - Black or African American,Unemployment Rate - White,Insured Unemployment Rate,Number Unemployed for 27 Weeks & Over,EMRATIO,Personal Income,Real Personal Income,Job Openings- Total Nonfarm,AverageHourlySalary-Private,Median Sales Price for New Houses Sold,Real Private Residential Fixed Investment,Total Construction Spending- Residential,Monthly Supply of Houses in the United States,Homeownership Rate for the United States
2008-12-01,-0.7519999999999998,-0.8015000000000008,-0.3249999999999993,0.2410099999999886,1.052190000000003,1.4643869263808795,6.86,3.97,-33.624454148471614,-23.208191126279868,-28.25,-1.0366199999999992,-2.5239999999999725,2008,12,7.3,12.1,6.7,3.525,2610,61.0,12221.4,13121.721,3146.0,21.94,229600.0,,301332.0,11.2,
2009-01-01,-0.3205,-0.2384999999999992,-0.3375000000000003,0.3156500000000051,-2.5533300000000025,-8.298312621845701,5.66,3.83,5.263157894736847,27.55555555555556,9.059233449477343,0.3160099999999914,-2.112000000000023,2009,1,7.8,12.7,7.1,4.32,2699,60.6,12085.5,12971.02,2738.0,21.97,208600.0,405.314,291523.0,12.2,67.4
2009-02-01,0.0549999999999997,0.0824999999999995,-0.165,0.2382499999999936,-2.501809999999999,-10.710498764097858,5.35,3.66,16.875,5.226480836236931,14.696485623003197,0.4559899999999999,-1.4919999999999902,2009,2,8.3,13.7,7.6,4.65,2999,60.3,11963.4,12813.805,2864.0,21.99,209700.0,,276113.0,10.5,
2009-03-01,-0.1349999999999998,-0.1274999999999995,-0.1449999999999995,0.2222199999999929,3.825800000000001,8.476457199685209,5.45,3.44,-2.6737967914438525,-10.264900662251655,1.3927576601671383,-0.1240399999999937,-1.3530000000000086,2009,3,8.7,13.7,8.0,4.775,3260,59.9,11920.0,12778.19,2534.0,22.06,205100.0,,262528.0,11.0,
2009-04-01,-0.1375000000000001,-0.1925000000000007,-0.1265,0.2437800000000152,4.789169999999999,10.339652879980376,5.32,3.27,2.1978021978022,16.60516605166052,3.296703296703287,0.1264000000000038,-0.7099999999999795,2009,4,9.0,15.0,8.1,4.725,3752,59.8,11994.1,12837.219,2295.0,22.09,219200.0,380.396,251235.0,10.7,67.4
2009-05-01,0.0149999999999996,0.0475000000000003,-0.0435000000000007,0.2028799999999933,1.447340000000004,5.044316118665238,4.92,3.16,14.516129032258052,9.810126582278482,12.500000000000016,0.1848799999999926,-0.2540000000000191,2009,5,9.4,15.0,8.5,4.58,3973,59.6,12187.1,13027.964,2549.0,22.1,222300.0,,244399.0,9.3,
2009-06-01,0.3875000000000002,0.5625,0.1625000000000005,0.0978399999999908,1.5407200000000003,0.2307073170177812,5.07,3.14,27.23004694835681,1.7291066282420635,6.85579196217492,1.044300000000007,0.3930000000000007,2009,6,9.5,14.8,8.7,4.55,4349,59.4,12068.4,12825.058,2503.0,22.13,214700.0,,245226.0,8.5,
2009-07-01,-0.2104999999999997,-0.1979999999999995,-0.1909999999999998,-0.0209999999999865,3.640799999999999,7.655945210739151,5.0,3.16,-9.22509225092251,-0.283286118980164,-2.433628318584059,-0.0378000000000042,0.3190000000000168,2009,7,9.5,14.8,8.7,4.6,4917,59.3,12021.2,12774.081,2232.0,22.18,214200.0,398.07,252642.0,7.9,67.4
2009-08-01,-0.0795000000000003,-0.0295000000000005,-0.1240000000000005,0.0088399999999921,0.7755599999999987,3.508528292120393,5.17,3.11,4.471544715447149,-3.4090909090909123,-0.9070294784580506,0.4246899999999982,-0.1340000000000145,2009,8,9.6,14.8,8.9,4.28,5037,59.1,12027.4,12743.854,2338.0,22.23,207100.0,,258774.0,7.5,
2009-09-01,-0.1200000000000001,-0.1349999999999998,-0.1499999999999994,-0.0541699999999991,2.876899999999999,4.004760360180425,4.81,3.14,-7.782101167315165,-2.647058823529408,-4.118993135011436,0.2457200000000057,-0.2529999999999859,2009,9,9.8,15.3,8.9,3.875,5494,58.7,12066.4,12763.787,2487.0,22.26,216600.0,,262509.0,7.8,
