DATE,5yr_Maturity,5yr_Maturity Mon_Chg,5yr_Maturity Per_Mon_Chg,5yr_Maturity Yr_Chg,5yr_Maturity Per_Yr_Chg,10yr_Maturity,10yr_Maturity Mon_Chg,10yr_Maturity Per_Mon_Chg,10yr_Maturity Yr_Chg,10yr_Maturity Per_Yr_Chg,30yr_Maturity,30yr_Maturity Mon_Chg,30yr_Maturity Per_Mon_Chg,30yr_Maturity Yr_Chg,30yr_Maturity Per_Yr_Chg
2011-11-01,0.91,-0.15,-14.150943396226417,-0.44,-32.592592592592595,2.08,-0.0899999999999998,-4.1474654377880125,-0.73,-25.97864768683274,3.02,-0.1099999999999998,-3.514376996805108,-1.1700000000000004,-27.92362768496421
2011-12-01,0.89,-0.02,-2.1978021978022,-1.04,-53.8860103626943,1.89,-0.1900000000000001,-9.134615384615392,-1.41,-42.72727272727273,2.98,-0.04,-1.3245033112582794,-1.44,-32.57918552036199
2012-01-01,0.84,-0.05,-5.6179775280898925,-1.15,-57.78894472361809,1.83,-0.0599999999999998,-3.174603174603166,-1.59,-46.49122807017543,3.03,0.0499999999999998,1.6778523489932826,-1.4899999999999998,-32.9646017699115
2012-02-01,0.83,-0.01,-1.1904761904761916,-1.4299999999999995,-63.27433628318584,1.98,0.1499999999999999,8.196721311475406,-1.44,-42.10526315789473,3.11,0.08,2.640264026402643,-1.5400000000000005,-33.118279569892486
2012-03-01,1.02,0.19,22.89156626506025,-1.09,-51.65876777251185,2.23,0.25,12.626262626262626,-1.2400000000000002,-35.73487031700289,3.28,0.1699999999999999,5.466237942122184,-1.23,-27.27272727272728
2012-04-01,0.89,-0.13,-12.745098039215684,-1.2799999999999998,-58.98617511520736,1.95,-0.28,-12.556053811659194,-1.37,-41.265060240963855,3.18,-0.0999999999999996,-3.0487804878048674,-1.3199999999999998,-29.33333333333333
2012-05-01,0.76,-0.13,-14.606741573033707,-1.08,-58.69565217391305,1.59,-0.3599999999999999,-18.461538461538453,-1.4599999999999995,-47.86885245901639,2.93,-0.25,-7.861635220125786,-1.36,-31.7016317016317
2012-06-01,0.71,-0.05,-6.5789473684210575,-0.8700000000000001,-55.06329113924051,1.67,0.0799999999999998,5.031446540880494,-1.5100000000000002,-47.48427672955975,2.7,-0.2299999999999999,-7.849829351535835,-1.5300000000000002,-36.17021276595745
2012-07-01,0.62,-0.0899999999999999,-12.676056338028166,-0.92,-59.74025974025974,1.51,-0.1599999999999999,-9.580838323353287,-1.3099999999999998,-46.45390070921985,2.59,-0.1100000000000003,-4.074074074074085,-1.6799999999999995,-39.34426229508197
2012-08-01,0.71,0.0899999999999999,14.51612903225806,-0.31,-30.3921568627451,1.57,0.06,3.973509933774838,-0.6599999999999999,-29.596412556053806,2.77,0.1800000000000001,6.949806949806956,-0.8799999999999999,-24.109589041095887
